id_hogar,renglon,pobreden,age_baseline,sex_baseline,yycali_97,state,village,cut,y_post,y_baseline,xbin,bin_midpt
649490,7,1,9,male,715.25,3,300580128,759.35999,1,1,2,-42.5
634073,4,no pobre,14,male,799.33002,3,300230016,759.35999,0,0,18,37.5
649330,7,1,13,female,743.5,3,300580096,759.35999,1,1,7,-17.5
649260,3,1,16,female,735,3,300580128,759.35999,0,0,6,-22.5
642930,6,1,9,female,712,3,300240000,759.35999,1,1,1,-47.5
332238,4,1,10,male,754,3,301960000,759.35999,1,1,9,-7.5
451103,7,1,12,male,749,3,300580128,759.35999,1,1,8,-12.5
643420,10,no pobre,7,female,783,3,300240000,759.35999,1,1,15,22.5
211338,6,1,7,male,714,3,300580096,759.35999,1,1,1,-47.5
656622,4,1,12,male,718,3,300830144,759.35999,1,1,2,-42.5
450206,4,1,16,male,727,3,300580064,759.35999,0,1,4,-32.5
623452,6,1,11,female,730.66998,3,300660032,759.35999,1,1,5,-27.5
451643,6,1,9,male,735,3,301610080,759.35999,1,1,6,-22.5
404975,7,no pobre,15,female,785,3,300550016,759.35999,1,1,16,27.5
618802,5,1,12,female,741,3,300580064,759.35999,1,1,7,-17.5
400432,4,1,12,male,744,3,301550080,759.35999,1,1,7,-17.5
156792,4,1,14,female,745,3,300830080,759.35999,1,1,8,-12.5
649080,6,1,8,female,711,3,300580128,759.35999,1,1,1,-47.5
618010,6,1,14,female,721,3,300580000,759.35999,0,0,3,-37.5
230114,3,1,14,male,736,3,300140032,759.35999,1,1,6,-22.5
623473,4,1,16,male,727.66998,3,300660032,759.35999,0,0,4,-32.5
650955,3,1,13,female,753,3,300270016,759.35999,0,0,9,-7.5
642480,5,1,15,female,735,3,300580096,759.35999,1,1,6,-22.5
230114,4,1,13,female,736,3,300140032,759.35999,1,1,6,-22.5
400924,5,1,10,female,728,3,300830016,759.35999,1,1,4,-32.5
401405,7,1,7,female,725.5,3,301550016,759.35999,1,1,4,-32.5
405017,5,1,14,male,732,3,300550016,759.35999,0,1,5,-27.5
401589,6,1,8,male,747,3,300580128,759.35999,1,1,8,-12.5
113950,4,1,13,female,710,3,300200032,759.35999,1,0,1,-47.5
618300,10,1,9,male,722,3,300580128,759.35999,1,1,3,-37.5
407470,6,1,14,female,739,3,300580096,759.35999,0,1,6,-22.5
320782,3,1,6,female,731,3,301100000,759.35999,1,1,5,-27.5
315332,4,1,12,female,734,3,300830016,759.35999,1,1,5,-27.5
112594,6,1,11,female,733.45001,3,301100000,759.35999,1,1,5,-27.5
401351,9,1,7,male,718,3,300580160,759.35999,1,1,2,-42.5
643610,4,1,6,male,729,3,300580096,759.35999,1,1,4,-32.5
424571,6,1,11,male,745.14001,3,300230176,759.35999,1,1,8,-12.5
686442,6,1,7,female,752,3,300580128,759.35999,1,1,9,-7.5
656112,7,1,7,male,718.5,3,300720032,759.35999,1,1,2,-42.5
328933,5,no pobre,13,female,788,3,300460032,759.35999,1,0,16,27.5
400468,3,1,15,female,753,3,300580128,759.35999,0,0,9,-7.5
400878,3,1,16,female,721,3,300830016,759.35999,0,0,3,-37.5
513180,6,1,9,male,742,3,300580096,759.35999,1,1,7,-17.5
643780,8,1,13,female,738,3,300790016,759.35999,1,1,6,-22.5
634092,6,1,8,male,722,3,300230016,759.35999,1,1,3,-37.5
332192,5,1,6,female,718,3,301960000,759.35999,1,1,2,-42.5
328927,3,1,7,female,750,3,300460032,759.35999,1,1,9,-7.5
400878,4,1,12,male,721,3,300830016,759.35999,1,1,3,-37.5
618170,2,1,11,male,710,3,300580000,759.35999,1,1,1,-47.5
118946,5,1,13,male,738,3,300240032,759.35999,0,1,6,-22.5
451656,3,1,10,male,749,3,300230016,759.35999,1,1,8,-12.5
328946,2,no pobre,16,female,808,3,300460032,759.35999,0,0,20,47.5
112594,7,1,8,female,733.45001,3,301100000,759.35999,1,1,5,-27.5
642430,6,1,13,female,747.5,3,300580096,759.35999,1,1,8,-12.5
644210,6,1,8,female,735,3,300580192,759.35999,1,1,6,-22.5
640080,5,1,7,male,752,3,300580128,759.35999,1,1,9,-7.5
510340,3,1,12,female,739,3,300580096,759.35999,1,1,6,-22.5
452346,5,no pobre,15,male,794,3,300580096,759.35999,1,1,17,32.5
649830,10,1,8,male,717,3,300580128,759.35999,0,1,2,-42.5
508050,3,1,11,male,718,3,300580064,759.35999,1,1,2,-42.5
650315,3,1,6,male,736,3,300270016,759.35999,1,1,6,-22.5
157922,7,1,9,male,715,3,300830016,759.35999,1,1,2,-42.5
113985,6,1,6,male,733,3,300200032,759.35999,1,1,5,-27.5
315332,3,1,14,male,734,3,300830016,759.35999,1,1,5,-27.5
623452,5,1,14,male,730.66998,3,300660032,759.35999,1,1,5,-27.5
407261,3,1,15,female,736,3,300580096,759.35999,1,1,6,-22.5
313875,6,1,13,male,755,3,300830016,759.35999,1,1,10,-2.5
404150,3,1,15,male,740.5,3,300550016,759.35999,1,1,7,-17.5
643420,7,no pobre,13,male,783,3,300240000,759.35999,1,1,15,22.5
328896,3,1,14,male,718,3,300460032,759.35999,1,1,2,-42.5
643780,7,1,15,female,738,3,300790016,759.35999,1,1,6,-22.5
404117,6,1,7,male,733,3,300550016,759.35999,1,1,5,-27.5
643450,5,1,14,male,736,3,300240000,759.35999,0,1,6,-22.5
400289,3,1,16,male,754,3,300550080,759.35999,0,1,9,-7.5
632288,7,1,14,female,757.33002,3,302030016,759.35999,1,1,10,-2.5
644210,4,1,13,female,735,3,300580192,759.35999,1,1,6,-22.5
508050,4,1,9,female,718,3,300580064,759.35999,1,1,2,-42.5
512910,4,1,14,male,712.5,3,300230016,759.35999,0,1,1,-47.5
404150,4,1,11,female,740.5,3,300550016,759.35999,1,1,7,-17.5
